12:03:00 [root] [INFO] 日志系统初始化完成。文件保存至: logs/2026-02-10_12-03-00.log
12:03:02 [utills.ip_validator] [DEBUG] IP 127.0.0.3 是回环地址（本地测试用）
12:03:02 [election] [INFO] [I'm Follower - (292780094, 127.0.0.3)] Election Manager starting
12:03:02 [election] [INFO] [I'm Follower - (292780094, 127.0.0.3)] UDP listener started on UDP:9003
12:03:03 [network_manager] [DEBUG] Starting follower long-lived connection to leader at 127.0.0.1...
12:03:03 [network_manager] [DEBUG] Follower established long-lived connection to leader at 127.0.0.1
12:03:06 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721386.737366, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:09 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721389.735986, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:12 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721392.736075, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:15 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721395.738198, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:18 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721398.738184, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:21 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721401.738187, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:24 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721404.737053, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:27 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721407.7377431, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:30 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721410.737246, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:33 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721413.738195, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:36 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721416.738178, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:39 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721419.7375731, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:03:41 [server_role] [INFO] [Server 292780094] Added chatroom 736226217_1 to list: {'chatroom_id': '736226217_1', 'name': 'chatting 1', 'server_id': 736226217, 'server_ip': '127.0.0.1', 'port': 9701, 'clients_count': 0}
12:03:42 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721422.7382011, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
