12:11:59 [root] [INFO] 日志系统初始化完成。文件保存至: logs/2026-02-10_12-11-59.log
12:12:05 [utills.ip_validator] [DEBUG] IP 127.0.0.2 是回环地址（本地测试用）
12:12:05 [election] [INFO] [I'm Follower - (986063936, 127.0.0.2)] Election Manager starting
12:12:05 [election] [INFO] [I'm Follower - (986063936, 127.0.0.2)] UDP listener started on UDP:9003
12:12:06 [network_manager] [DEBUG] Starting follower long-lived connection to leader at 127.0.0.1...
12:12:06 [network_manager] [DEBUG] Follower established long-lived connection to leader at 127.0.0.1
12:12:08 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721928.250271, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1'}
12:12:11 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721931.2515168, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1'}
12:12:12 [server_role] [INFO] [Follower] New follower joined: 820712340 with IP: 127.0.0.3. Updated membership list: {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:14 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721934.252192, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:17 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721937.252456, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:20 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721940.252685, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:22 [server_role] [INFO] [Server 986063936] Added chatroom 884090390_1 to list: {'chatroom_id': '884090390_1', 'name': '1', 'server_id': 884090390, 'server_ip': '127.0.0.1', 'port': 17001, 'clients_count': 0}
12:12:23 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721943.252861, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:26 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721946.248991, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:28 [server_role] [INFO] [Server 986063936] Updated chatroom 884090390_1: {'clients_count': 1}
12:12:29 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721949.25314, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:32 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721952.249727, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:35 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721955.251025, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
12:12:38 [server.heartbeat] [DEBUG] [I'm Follower - 986063936] Heartbeat received message: HEARTBEAT {'server_id': 884090390, 'timestamp': 1770721958.2493498, 'identity': 'LEADER'} from 884090390, current memnershiplist is {986063936: '127.0.0.2', 884090390: '127.0.0.1', 820712340: '127.0.0.3'}
