15:58:36 [root] [INFO] Log system initialized. File saved to: logs/2026-02-10_15-58-36.log
15:58:43 [utills.ip_validator] [DEBUG] IP 127.0.0.2 is loopback address (for local testing)
15:58:43 [election] [INFO] [I'm Follower - (364013341, 127.0.0.2)] Election Manager starting
15:58:43 [election] [INFO] [I'm Follower - (364013341, 127.0.0.2)] UDP listener started on UDP:9003
15:58:44 [network_manager] [DEBUG] Starting follower long-lived connection to leader at 127.0.0.1...
15:58:44 [network_manager] [DEBUG] Follower established long-lived connection to leader at 127.0.0.1
15:58:47 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735527.464052, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1'}
15:58:48 [server_role] [INFO] [Follower] New follower joined: 256777385 with IP: 127.0.0.3. Updated membership list: {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:58:50 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735530.46496, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:58:53 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735533.4679449, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:58:56 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735536.464993, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:58:59 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735539.46499, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:02 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735542.468863, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:04 [server_role] [INFO] [Server 364013341] Added chatroom 338705476_1 to list: {'chatroom_id': '338705476_1', 'name': 'Room_A', 'server_id': 338705476, 'server_ip': '127.0.0.1', 'port': 15601, 'clients_count': 0}
15:59:05 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735545.4688761, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:08 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735548.467065, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:11 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735551.465871, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:14 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735554.4688718, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:17 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735557.46668, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:20 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735560.468865, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:23 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735563.468034, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:26 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735566.468638, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
15:59:29 [server.heartbeat] [DEBUG] [I'm Follower - 364013341] Heartbeat received message: HEARTBEAT {'server_id': 338705476, 'timestamp': 1770735569.468867, 'identity': 'LEADER'} from 338705476, current memnershiplist is {364013341: '127.0.0.2', 338705476: '127.0.0.1', 256777385: '127.0.0.3'}
